Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional,
103,Dalton Guthrie,26.257,Sep 6,,9/H45,PHI,0.4,5-11,160,R,R,Dec 23 1995,Sarasota FL US,Drafted by the Philadelphia Phillies in the 6th round of the 2017 amateur draft. Player signed July 6 2017.,University of Florida (Gainesville FL),Venice HS (Venice FL),Dalton James,guthrda01,
104,Darick Hall,26.339,Jun 29,,D/3H1,PHI,0.4,6-4,232,L,R,Jul 25 1995,Hereford AZ US,Drafted by the Philadelphia Phillies in the 14th round of the 2016 amateur draft. Player signed June 15 2016.,Cochise College (Douglas AZ) Dallas Baptist University (Dallas TX),Buena HS (Sierra Vista AZ),Darick,hallda02,
105,DL Hall,23.328,Aug 13,,1,BAL,-0.2,6-2,195,L,L,Sep 19 1998,Valdosta GA US,Drafted by the Baltimore Orioles in the 1st round (21st pick) of the 2017 amateur draft. Player signed June 30 2017.,,Valdosta HS (Valdosta GA),Dayton Lane,halldl01,
106,Caleb Hamilton,27.162,Jul 17,,2/H3D,MIN,-0.3,6-0,185,R,R,Feb 5 1995,Woodinville WA US,Drafted by the Minnesota Twins in the 23rd round of the 2016 amateur draft. Player signed June 18 2016.,Oregon State University (Corvallis OR),Woodinville HS (Woodinville WA),Caleb Broderick,hamilca01,
107,Michael Harris,21.082,May 28,,*8,ATL,5.3,6-0,195,L,L,Mar 7 2001,DeKalb GA US,Drafted by the Atlanta Braves in the 3rd round of the 2019 amateur draft. Player signed June 7 2019.,,Stockbridge HS (Stockbridge GA),Michael Machion,harrimi04,
108,Gunnar Henderson,21.063,Aug 31,,5/6DH4,BAL,0.9,6-2,210,L,R,Jun 29 2001,Montgomery AL US,Drafted by the Baltimore Orioles in the 2nd round of the 2019 amateur draft. Player signed June 25 2019.,,John T. Morgan Academy (Selma AL),Gunnar Randal,hendegu01,
109,Ronny Henriquez,22.091,Sep 19,,/1,MIN,0.2,5-10,155,R,R,Jun 20 2000,Bonao Monsenor Nouel DO,Signed as a Free Agent with the Texas Rangers in 2017.,,,Ronny,henriro01,
110,Tommy Henry,25.005,Aug 3,,/1,ARI,-0.2,6-3,205,L,L,Jul 29 1997,Portage MI US,Drafted by the Arizona Diamondbacks in the 2nd round of the 2019 amateur draft. Player signed July 2 2019.,University of Michigan (Ann Arbor MI),Portage Northern HS (Portage MI),Thomas Jack,henryto01,
111,David Hensley,26.152,Aug 27,,/D45H67,HOU,0.3,6-6,190,R,R,Mar 28 1996,San Diego CA US,Drafted by the Houston Astros in the 26th round of the 2018 amateur draft. Player signed June 13 2018.,San Diego State University (San Diego CA),,David James,henslda01,
112,Kevin Herget,31.163,Sep 13,,/1,TBR,-0.1,5-10,185,L,R,Apr 3 1991,Teaneck NJ US,Drafted by the St. Louis Cardinals in the 39th round of the 2013 amateur draft. Player signed June 12 2013.,Kean University (Union NJ),Park Ridge HS (Park Ridge NJ),Kevin R.,hergeke01,
113,Elier Hernandez,27.235,Jul 14,,/7DH39,TEX,-0.4,6-3,197,R,R,Nov 21 1994,San Cristobal San Cristobal DO,Signed as a Free Agent with the Kansas City Royals in 2011.,,,Elier,hernael02,
114,Ivan Herrera,21.357,May 24,,2,STL,-0.3,5-11,220,R,R,Jun 1 2000,Panama Panama PA,Signed as a Free Agent with the St. Louis Cardinals in 2016.,,,Ivan Aaron,herreiv01,
115,Jose Herrera,25.044,Apr 9,,2/DH,ARI,-0.3,5-10,217,B,R,Feb 24 1997,San Carlos Cojedes VE,Signed as a Free Agent with the Arizona Diamondbacks in 2013.,,,Jose Gregorio,herrejo04,
116,Brewer Hicklen,26.106,May 26,,/H798,KCR,-0.1,6-2,208,R,R,Feb 9 1996,Huntsville AL US,Drafted by the Kansas City Royals in the 7th round of the 2017 amateur draft. Player signed June 17 2017.,University of Alabama at Birmingham (Birmingham AL),Huntsville HS (Huntsville AL),Charles Brewer,hicklbr01,
117,Garrett Hill,26.169,Jul 4,,1,DET,0.4,6-0,185,R,R,Jan 16 1996,Petaluma CA US,Drafted by the Detroit Tigers in the 26th round of the 2018 amateur draft. Player signed June 12 2018.,San Diego State University (San Diego CA),,Garrett David,hillga02,
118,Sean Hjelle,24.364,May 6,,/1,SFG,-0.4,6-11,228,R,R,May 7 1997,Fridley MN US,Drafted by the San Francisco Giants in the 2nd round of the 2018 amateur draft. Player signed June 15 2018.,University of Kentucky (Lexington KY),Mahtomedi HS (Mahtomedi MN),Sean Anthony,hjellse01,
119,Bryan Hoeing,25.305,Aug 20,,/1,MIA,-0.8,6-6,210,R,R,Oct 19 1996,Batesville IN US,Drafted by the Miami Marlins in the 7th round of the 2019 amateur draft. Player signed July 5 2019.,University of Louisville (Louisville KY),Batesville HS (Batesville IN),Bryan Jerome,hoeinbr01,
120,Colin Holderman,26.219,May 15,,1,NYM,0.3,6-7,225,R,R,Oct 8 1995,Bourbonnais IL US,Drafted by the New York Mets in the 9th round of the 2016 amateur draft. Player signed June 13 2016.,Heartland Community College (Normal IL) Southern Illinois University Carbondale (Carbondale IL),Bradley Bourbonnais HS (Bourbonnais IL),Colin Scott,holdeco01,
121,Gavin Hollowell,24.319,Sep 19,,/1,COL,-0.2,6-7,215,R,R,Nov 4 1997,Somerset NJ US,Drafted by the Colorado Rockies in the 6th round of the 2019 amateur draft. Player signed June 10 2019.,St. John's University (Queens NY),Montgomery HS (Skillman NJ),Gavin Ernest,holloga01,
122,Tyler Holton,25.319,Apr 28,,1,ARI,0.1,6-2,200,L,L,Jun 13 1996,Tallahassee FL US,Drafted by the Arizona Diamondbacks in the 9th round of the 2018 amateur draft. Player signed June 13 2018.,Florida State University (Tallahassee FL),Lincoln HS (Tallahassee FL),Weston Tyler,holtoty01,
123,Brandon Hughes,26.167,May 17,,1,CHC,1.4,6-2,215,B,L,Dec 1 1995,Royal Oak MI US,Drafted by the Chicago Cubs in the 16th round of the 2017 amateur draft. Player signed June 27 2017.,Michigan State University (East Lansing MI),Stevenson HS (Sterling Heights MI),Brandon Kenneth,hughebr01,
124,Cooper Hummel,27.130,Apr 7,,7H2D/9,ARI,-0.3,5-10,198,B,R,Nov 28 1994,Portland OR US,Drafted by the Milwaukee Brewers in the 18th round of the 2016 amateur draft. Player signed June 13 2016.,University of Portland (Portland OR),,Cooper Everett,hummeco01,
125,Zach Jackson,27.105,Apr 9,,1,OAK,1.0,6-4,230,R,R,Dec 25 1994,Tulsa OK US,Drafted by the Toronto Blue Jays in the 3rd round of the 2016 amateur draft. Player signed June 20 2016.,University of Arkansas (Fayetteville AR),Berryhill HS (Tulsa OK),Zachary Garrett,jacksza02,
126,Drey Jameson,25.029,Sep 15,,/1,ARI,1.3,6-0,165,R,R,Aug 17 1997,Greenfield IN US,Drafted by the Arizona Diamondbacks in the 1st round (34th pick) of the 2019 amateur draft. Player signed June 15 2019.,Ball State University (Muncie IN),,Drey Matthew,jamesdr01,
127,Bryce Johnson,26.280,Aug 3,,/897H,SFG,-0.3,6-1,195,B,R,Oct 27 1995,Cypress TX US,Drafted by the San Francisco Giants in the 6th round of the 2017 amateur draft. Player signed June 20 2017.,Sam Houston State University (Huntsville TX),Cypress Ranch HS (Cypress TX),Bryce Christopher,johnsbr03,
128,Nolan Jones,24.062,Jul 8,,9/DH,CLE,0.1,6-4,195,L,R,May 7 1998,Langhorne PA US,Drafted by the Cleveland Indians in the 2nd round of the 2016 amateur draft. Player signed July 1 2016.,,Holy Ghost Prep HS (Philadelphia PA),Nolan Allen,jonesno01,
129,Josh Jung,24.209,Sep 9,,5/D,TEX,-0.1,6-2,214,R,R,Feb 12 1998,San Antonio TX US,Drafted by the Texas Rangers in the 1st round (8th pick) of the 2019 amateur draft. Player signed July 3 2019.,Texas Tech University (Lubbock TX),MacArthur HS (San Antonio TX),Joshua Ryne,jungjo01,
130,Gosuke Katoh,27.183,Apr 9,,/3H4D,TOR,0.1,6-1,197,L,R,Oct 8 1994,Mountain View CA US,Drafted by the New York Yankees in the 2nd round of the 2013 amateur draft. Player signed June 19 2013.,,Rancho Bernardo HS (San Diego CA),Gosuke John,katohgo01,
131,Michael Kelly,29.283,Jun 16,,/1,PHI,0.1,6-4,185,R,R,Sep 6 1992,Boynton Beach FL US,Drafted by the San Diego Padres in the 1st round (48th pick) of the 2011 amateur draft. Player signed August 15 2011.,,West Boca Raton Community HS (Boca Raton FL),Michael Joseph,kellymi03,
132,Zack Kelly,27.179,Aug 29,,1,BOS,0.2,6-3,205,R,R,Mar 3 1995,Roanoke VA US,Signed as a Free Agent with the Oakland Athletics in 2017.,Newberry College (Newberry SC),,Zachery Reed,kellyza01,
133,Buddy Kennedy,23.255,Jun 17,,4/HD5,ARI,0.0,6-1,190,R,R,Oct 5 1998,Millville NJ US,Drafted by the Arizona Diamondbacks in the 5th round of the 2017 amateur draft. Player signed June 23 2017.,,Millville Senior HS (Millville NJ),Clifton Lewis,kennebu01,
134,Ray Kerr,27.226,Apr 24,,/1,SDP,-0.1,6-3,185,L,L,Sep 10 1994,Sacramento CA US,Signed as a Free Agent with the Seattle Mariners in 2017.,Lassen College (Susanville CA),,Raymond Alexander,kerrra01,
135,Caleb Kilian,25.002,Jun 4,,/1,CHC,-0.6,6-4,180,R,R,Jun 2 1997,Anaheim CA US,Drafted by the San Francisco Giants in the 8th round of the 2019 amateur draft. Player signed June 29 2019.,Texas Tech University (Lubbock TX),Flower Mound HS (Flower Mound TX),Caleb John,kiliaca01,
136,George Kirby,24.093,May 8,,1,SEA,1.4,6-4,215,R,R,Feb 4 1998,Rye NY US,Drafted by the Seattle Mariners in the 1st round (20th pick) of the 2019 amateur draft. Player signed June 13 2019.,Elon University (Elon NC),Rye HS (Rye NY),George Joseph,kirbyge01,
137,Jared Koenig,28.135,Jun 8,,1,OAK,-0.1,6-5,235,R,L,Jan 24 1994,San Jose CA US,Signed as a Free Agent with the Oakland Athletics in 2020.,California State University Monterey Bay (Seaside CA) Central Arizona College (Coolidge AZ) Old Dominion University (Norfolk VA),,Jared Tyler,koenija01,
138,Mark Kolozsvary,26.228,Apr 20,,/2H,CIN,0.1,5-8,180,R,R,Sep 4 1995,Eustis FL US,Drafted by the Cincinnati Reds in the 7th round of the 2017 amateur draft. Player signed July 4 2017.,University of Florida (Gainesville FL),Tavares HS (Tavares FL),Mark Daniel,kolozma01,
139,Ryan Kreidler,24.294,Sep 2,,56/H48,DET,0.4,6-4,208,R,R,Nov 12 1997,Davis CA US,Drafted by the Detroit Tigers in the 4th round of the 2019 amateur draft. Player signed June 19 2019.,University of California Los Angeles (Los Angeles CA),Davis HS (Davis CA),Ryan,kreidry01,
140,Jason Krizan,32.305,Apr 29,,/7,SFG,0.0,6-0,185,L,R,Jun 28 1989,Austin TX US,Drafted by the Detroit Tigers in the 8th round of the 2011 amateur draft. Player signed June 18 2011.,Dallas Baptist University (Dallas TX),Pflugerville HS (Pflugerville TX),Jason William,krizaja01,
141,Steven Kwan,24.214,Apr 7,,*79/8HD,CLE,5.5,5-9,170,L,L,Sep 5 1997,Los Gatos CA US,Drafted by the Cleveland Indians in the 5th round of the 2018 amateur draft. Player signed July 3 2018.,Oregon State University (Corvallis OR),Washington HS (Fremont CA),Steven Robert,kwanst01,
142,A.J. Ladwig,29.232,Aug 13,,/1,MIA,-0.2,6-5,220,R,R,Dec 24 1992,Omaha NE US,Drafted by the Detroit Tigers in the 11th round of the 2014 amateur draft. Player signed June 14 2014.,Wichita State University (Wichita KS),Millard West HS (Omaha NE),Adam Joseph,ladwiaj01,
143,Shea Langeliers,24.271,Aug 16,,D2,OAK,0.1,6-0,205,R,R,Nov 18 1997,Portland OR US,Drafted by the Atlanta Braves in the 1st round (9th pick) of the 2019 amateur draft. Player signed June 12 2019.,Baylor University (Waco TX),Keller HS (Keller TX),Shea Ryan,langesh01,
144,Jack Larsen,27.199,Jul 31,,/9,SEA,0.0,6-1,195,L,L,Jan 13 1995,Newport Beach CA US,Signed as a Free Agent with the Seattle Mariners in 2017.,University of California San Diego (La Jolla CA),,Jack Harter,larseja01,
145,Bryan Lavastida,23.134,Apr 10,,/2,CLE,-0.1,6-0,200,R,R,Nov 27 1998,Hialeah FL US,Drafted by the Cleveland Indians in the 15th round of the 2018 amateur draft. Player signed June 7 2018.,Hillsborough Community College (Tampa FL),Westland HS (Hialeah FL),Bryan,lavasbr01,
146,Charles Leblanc,26.057,Jul 30,,45/3HD,MIA,0.7,6-3,195,R,R,Jun 3 1996,Laval QC CA,Drafted by the Texas Rangers in the 4th round of the 2016 amateur draft. Player signed June 15 2016.,University of Pittsburgh (Pittsburgh PA),École Secondaire Georges-Vanier (Laval QC),Charles,leblach01,
147,Evan Lee,24.348,Jun 1,,/1,WSN,0.0,6-1,210,L,L,Jun 18 1997,Bryant AR US,Drafted by WAS (NL) in the 15th round of the 2018 amateur draft. Player signed July 2 2018.,University of Arkansas (Fayetteville AR),,Evan Hankins,leeev01,
148,Korey Lee,23.341,Jul 1,,2/H,HOU,-0.5,6-2,210,R,R,Jul 25 1998,Escondido CA US,Drafted by the Houston Astros in the 1st round (32nd pick) of the 2019 amateur draft. Player signed June 12 2019.,University of California Berkeley (Berkeley CA),,Korey Bryan,leeko01,
149,Jacob Lemoine,28.131,Apr 8,,/1,OAK,-0.5,6-5,220,R,R,Nov 28 1993,Houston TX US,Drafted by the Texas Rangers in the 4th round of the 2015 amateur draft. Player signed June 12 2015.,University of Houston (Houston TX),Bridge City HS (Bridge City TX),Jacob Alan,lemoija01,
150,Josh Lester,28.050,Sep 5,,/5DH,DET,-0.1,6-3,180,L,R,Jul 17 1994,Columbus GA US,Drafted by the Detroit Tigers in the 13th round of the 2015 amateur draft. Player signed June 15 2015.,University of Missouri (Columbia MO),Columbus HS (Columbus GA),Joshua Benjamin,lestejo02,
151,Royce Lewis,22.335,May 6,,6/8,MIN,0.3,6-2,200,R,R,Jun 5 1999,Aliso Viejo CA US,Drafted by the Minnesota Twins in the 1st round (1st pick) of the 2017 amateur draft. Player signed June 17 2017.,,JSerra Catholic HS (San Juan Capistrano CA),Royce Oliver,lewisro02,
152,Luis Liberato,26.266,Sep 10,,/HD879,SDP,-0.2,6-1,175,L,L,Dec 18 1995,La Canela Santiago DO,Signed as a Free Agent with the Seattle Mariners in 2012.,,,Luis David,liberlu01,
153,Matthew Liberatore,22.196,May 21,,/1,STL,-0.5,6-4,200,L,L,Nov 6 1999,Peoria AZ US,Drafted by the Tampa Bay Rays in the 1st round (16th pick) of the 2018 amateur draft. Player signed June 12 2018.,,Mountain Ridge HS (Glendale AZ),Matthew Joseph,liberma01,
154,Brendon Little,26.019,Aug 30,,/1,CHC,-0.3,6-2,195,L,L,Aug 11 1996,Bryn Mawr PA US,Drafted by the Chicago Cubs in the 1st round (27th pick) of the 2017 amateur draft. Player signed June 21 2017.,State College of Florida Manatee-Sarasota (Bradenton FL) University of North Carolina at Chapel Hill (Chapel Hill NC),Conestoga HS (Berwyn PA),Brendon David,littlbr02,
155,Nick Lodolo,24.067,Apr 13,,1,CIN,2.8,6-6,205,L,L,Feb 5 1998,La Verne CA US,Drafted by the Cincinnati Reds in the 1st round (7th pick) of the 2019 amateur draft. Player signed June 11 2019.,Texas Christian University (Fort Worth TX),Damien HS (La Verne CA),Nicholas Frank,lodolni01,
156,Zach Logue,25.361,Apr 19,,1,OAK,-1.1,6-0,165,L,L,Apr 23 1996,Mason OH US,Drafted by the Toronto Blue Jays in the 9th round of the 2017 amateur draft. Player signed June 19 2017.,University of Kentucky (Lexington KY),Archbishop Moeller HS (Cincinnati OH),Zach Michael,logueza01,
157,Christian Lopes,29.201,Apr 20,,/4HD79,OAK,-0.2,6-0,211,R,R,Oct 1 1992,Huntington Beach CA US,Drafted by the Toronto Blue Jays in the 7th round of the 2011 amateur draft. Player signed August 15 2011.,,Edison HS (Huntington Beach CA),Christian Michael,lopesch01,
158,David MacKinnon,27.185,Jun 18,,/3H5,LAA,-0.4,6-2,200,R,R,Dec 15 1994,Easton MA US,Drafted by the Los Angeles Angels in the 32nd round of the 2017 amateur draft. Player signed June 17 2017.,University of Hartford (West Hartford CT),,David C.,mackida01,
159,Bligh Madris,26.000,Jun 20,,9/37HD8,PIT,-1.0,6-0,208,L,R,Feb 29 1996,Las Vegas NV US,Drafted by the Pittsburgh Pirates in the 9th round of the 2017 amateur draft. Player signed June 19 2017.,Colorado Mesa University (Grand Junction CO),,Bligh John,madribl01,
160,Ron Marinaccio,26.282,Apr 9,,1,NYY,1.2,6-2,205,R,R,Jul 1 1995,Toms River NJ US,Drafted by the New York Yankees in the 19th round of the 2017 amateur draft. Player signed June 16 2017.,University of Delaware (Newark DE),,Ronald James,marinro01,
161,Yunior Marte,27.069,Apr 12,,1,SFG,-0.3,6-2,180,R,R,Feb 2 1995,Santo Domingo Distrito Nacional DO,Signed as a Free Agent with the Kansas City Royals in 2012.,,,Yunior,marteyu01,
162,Davis Martin,25.133,May 17,,1,CHW,0.1,6-2,215,L,R,Jan 4 1997,Abilene TX US,Drafted by the Chicago White Sox in the 14th round of the 2018 amateur draft. Player signed July 5 2018.,Texas Tech University (Lubbock TX),Central HS (San Angelo TX),Davis Alan,martida03,
163,Adrian Martinez,25.151,May 10,,1,OAK,-0.8,6-2,215,R,R,Dec 10 1996,Mexicali Baja California MX,Signed as a Free Agent with the San Diego Padres in 2015.,,,Adrian Misael,martiad01,
164,Michael Massey,24.115,Jul 15,,4/HD5,KCR,0.7,6-0,190,L,R,Mar 22 1998,Palos Park IL US,Drafted by the Kansas City Royals in the 4th round of the 2019 amateur draft. Player signed June 9 2019.,University of Illinois at Urbana-Champaign (Champaign IL),,Michael,massemi02,
165,Miles Mastrobuoni,26.326,Sep 22,,/49H,TBR,-0.2,5-11,185,L,R,Oct 31 1995,San Ramon CA US,Drafted by the Tampa Bay Rays in the 14th round of the 2016 amateur draft. Player signed June 17 2016.,College of San Mateo (San Mateo CA) University of Nevada Reno (Reno NV),,Miles James,mastrmi01,
166,J.J. Matijevic,26.159,Apr 22,,HD3/7,HOU,-0.1,6-0,206,L,R,Nov 14 1995,Latrobe PA US,Drafted by the Houston Astros in the 2nd round of the 2017 amateur draft. Player signed June 21 2017.,University of Arizona (Tucson AZ),Norwin HS (Irwin PA),Joseph John,matijjj01,
167,Kirk McCarty,26.194,Apr 24,,1,CLE,-0.3,5-8,185,L,L,Oct 12 1995,Hattiesburg MS US,Drafted by the Cleveland Indians in the 7th round of the 2017 amateur draft. Player signed June 24 2017.,University of Southern Mississippi (Hattiesburg MS),Oak Grove HS (Hattiesburg MS),Kirkland Morgan,mccarki01,
168,Mickey McDonald,26.322,Apr 20,,/H8D9,OAK,0.0,6-2,175,B,R,Jun 2 1995,San Mateo CA US,Drafted by the Oakland Athletics in the 18th round of the 2017 amateur draft. Player signed June 15 2017.,University of Illinois at Chicago (Chicago IL),,Raymond Mickey,mcdonmi01,
169,Easton McGee,24.280,Oct 2,,/1,TBR,0.1,6-6,205,R,R,Dec 26 1997,Hopkinsville KY US,Drafted by the Tampa Bay Rays in the 4th round of the 2016 amateur draft. Player signed June 28 2016.,,Hopkinsville HS (Hopkinsville KY),Easton Michael,mcgeeea01,
170,MJ Melendez,23.155,May 3,,2D79/H,KCR,0.5,6-1,190,L,R,Nov 29 1998,Daytona Beach FL US,Drafted by the Kansas City Royals in the 2nd round of the 2017 amateur draft. Player signed June 17 2017.,,Westminster Christian School (Miami FL),Mervyl Samuel,melenmj01,
171,Joey Meneses,30.088,Aug 2,,39/7H,WSN,1.1,6-3,215,R,R,May 6 1992,Culiacan Sinaloa MX,Signed as a Free Agent with the Atlanta Braves in 2011.,,,Joey,menesjo01,
172,Max Meyer,23.126,Jul 16,,/1,MIA,-0.1,6-0,196,L,R,Mar 12 1999,Woodbury MN US,Drafted by the Miami Marlins in the 1st round (3rd pick) of the 2020 amateur draft. Player signed July 1 2016.,University of Minnesota (Minneapolis MN),Woodbury HS (Woodbury MN),Max Thomas,meyerma01,
173,Jose Miranda,23.307,May 2,,35D/H,MIN,1.0,6-2,210,R,R,Jun 29 1998,Manati PR,Drafted by the Minnesota Twins in the 2nd round of the 2016 amateur draft. Player signed June 14 2016.,,Leadership Christian Academy (Guaynabo Puerto Rico),Jose Francisco,miranjo01,
174,Calvin Mitchell,23.077,May 24,,9D/H,PIT,-0.4,6-0,205,L,L,Mar 8 1999,San Diego CA US,Drafted by the Pittsburgh Pirates in the 2nd round of the 2017 amateur draft. Player signed June 20 2017.,,Rancho Bernardo HS (San Diego CA),Calvin,mitchca01,
175,Garrett Mitchell,23.357,Aug 27,,8/H,MIL,0.9,6-3,215,L,R,Sep 4 1998,Orange CA US,Drafted by the Milwaukee Brewers in the 1st round (20th pick) of the 2020 amateur draft. Player signed July 8 2020.,University of California Los Angeles (Los Angeles CA),Orange Lutheran HS (Orange CA),Garrett Antony-Charles,mitchga01,
176,Nate Mondou,27.194,Oct 4,,/4,OAK,0.0,5-10,205,L,R,Mar 24 1995,Tacoma WA US,Drafted by the Oakland Athletics in the 13th round of the 2016 amateur draft. Player signed June 14 2016.,Wake Forest University (Winston-Salem NC),Charles Wright Academy (University Place WA),Nathan Wayne,mondona01,
177,Elehuris Montero,23.257,May 1,,53D/H,COL,0.1,6-3,235,R,R,Aug 17 1998,Santo Domingo Centro Distrito Nacional DO,Signed as a Free Agent with the St. Louis Cardinals in 2014.,,,Elehuris,monteel01,
178,Bryce Montes de Oca,26.133,Sep 3,,/1,NYM,-0.1,6-7,265,R,R,Apr 23 1996,Lawrence KS US,Drafted by the New York Mets in the 9th round of the 2018 amateur draft. Player signed June 9 2018.,University of Missouri (Columbia MO),Lawrence HS (Lawrence KS),Bryce,montebr01,
179,Francisco Morales,22.194,May 9,,/1,PHI,-0.1,6-4,185,R,R,Oct 27 1999,San Juan de los Morros Guarico VE,Signed as a Free Agent with the Philadelphia Phillies in 2016.,,,Francisco Javier,moralfr02,
180,Christopher Morel,22.327,May 17,,8456/HD7,CHC,1.4,5-11,145,R,R,Jun 24 1999,Santiago Santiago DO,Signed as a Free Agent with the Chicago Cubs in 2015.,,,Christopher Rafael,morelch01,
181,Gabriel Moreno,22.117,Jun 11,,2/HD457,TOR,0.7,5-11,195,R,R,Feb 14 2000,Barquisimeto Lara VE,Signed as a Free Agent with the Toronto Blue Jays in 2016.,,,Gabriel Jose,morenga01,
182,Cody Morris,25.302,Sep 2,,/1,CLE,0.4,6-4,205,R,R,Nov 4 1996,Columbia MD US,Drafted by the Cleveland Indians in the 7th round of the 2018 amateur draft. Player signed June 19 2018.,University of South Carolina (Columbia SC),Reservoir HS (Fulton MD),Cody McKinley,morrico01,
183,Penn Murfee,27.362,Apr 29,,1,SEA,1.0,6-2,195,R,R,May 2 1994,Nashville TN US,Drafted by the Seattle Mariners in the 33rd round of the 2018 amateur draft. Player signed June 10 2018.,Santa Clara University (Santa Clara CA) Vanderbilt University (Nashville TN),Montgomery Bell Academy (Nashville TN),William Penn,murfepe01,
184,Parker Mushinski,26.146,Apr 17,,/1,HOU,0.1,6-0,218,L,L,Nov 22 1995,Arlington TX US,Drafted by the Houston Astros in the 7th round of the 2017 amateur draft. Player signed June 21 2017.,Texas Tech University (Lubbock TX),Argyle HS (Argyle TX),Parker Allen,mushipa01,
185,Simon Muzziotti,23.105,Apr 11,,/8H,PHI,-0.1,6-1,175,L,L,Dec 27 1998,Cumana Sucre VE,Signed as a Free Agent with the Boston Red Sox in 2015.,,,Simon Jose,muzzisi01,
186,James Naile,29.139,Jun 27,,/1,STL,0.0,6-4,185,R,R,Feb 8 1993,Cape Girardeau MO US,Drafted by the Oakland Athletics in the 20th round of the 2015 amateur draft. Player signed June 15 2015.,University of Alabama at Birmingham (Birmingham AL),,James Aubrey,naileja01,
187,Andrew Nardi,23.363,Aug 16,,1,MIA,-0.7,6-3,215,L,L,Aug 18 1998,West Hills CA US,Drafted by the Miami Marlins in the 16th round of the 2019 amateur draft. Player signed June 10 2019.,Moorpark College (Moorpark CA) University of Arizona (Tucson AZ) Ventura College (Ventura CA),Royal HS (Simi Valley CA),Andrew Christopher,nardian01,
188,Bo Naylor,22.222,Oct 1,,/2D,CLE,-0.2,6-0,195,L,R,Feb 21 2000,Mississauga ON CA,Drafted by the Cleveland Indians in the 1st round (29th pick) of the 2018 amateur draft. Player signed July 3 2018.,,St. Joan of Arc Catholic SS (Mississauga ON),Noah Garret,naylobo01,
189,Ryne Nelson,24.216,Sep 5,,/1,ARI,0.8,6-3,184,R,R,Feb 1 1998,Henderson NV US,Drafted by the Arizona Diamondbacks in the 2nd round of the 2019 amateur draft. Player signed June 18 2019.,University of Oregon (Eugene OR),Basic HS (Henderson NV),Ryne Tanner,nelsory01,
190,Logan O'Hoppe,22.231,Sep 28,,/2,LAA,-0.1,6-2,185,R,R,Feb 9 2000,West Islip NY US,Drafted by the Philadelphia Phillies in the 23rd round of the 2018 amateur draft. Player signed June 11 2018.,,St. John the Baptist HS (West Islip NY),Logan,ohopplo01,
191,Brian O'Keefe,29.078,Oct 1,,/2D,SEA,0.0,6-1,210,R,R,Jul 15 1993,Albany NY US,Drafted by the St. Louis Cardinals in the 7th round of the 2014 amateur draft. Player signed June 12 2014.,St. Joseph's University (Philadelphia PA),South Colonie HS (Albany NY),Brian James,okeefbr01,
192,Cristofer Ogando,28.253,Jul 3,,/1,TBR,0.0,6-3,195,R,R,Oct 23 1993,Santo Domingo Distrito Nacional DO,Signed as a Free Agent with the Miami Marlins in 2013.,,,Cristofer Jesus,ogandcr01,
193,Chris Okey,27.163,Jun 10,,/2,CIN,-0.2,5-11,200,R,R,Dec 29 1994,Altamonte Springs FL US,Drafted by the Cincinnati Reds in the 2nd round of the 2016 amateur draft. Player signed June 13 2016.,Clemson University (Clemson SC),Eustis HS (Eustis FL),Christopher Campbell,okeych01,
194,Adam Oller,27.177,Apr 12,,1,OAK,-1.0,6-4,225,R,R,Oct 17 1994,Conroe TX US,Drafted by the Pittsburgh Pirates in the 20th round of the 2016 amateur draft. Player signed June 17 2016.,Northwestern State University of Louisiana (Natchitoches LA),,Adam Samuel,ollerad01,
195,Luis Ortiz,23.229,Sep 13,,/1,PIT,0.1,6-2,240,R,R,Jan 27 1999,San Pedro de Macoris San Pedro de Macoris DO,Signed as a Free Agent with the Pittsburgh Pirates in 2018.,,,Luis Leandro,ortizlu03,
196,James Outman,25.078,Jul 31,,/7D9,LAD,0.4,6-3,215,L,R,May 14 1997,Redwood City CA US,Drafted by the Los Angeles Dodgers in the 7th round of the 2018 amateur draft. Player signed June 12 2018.,California State University Sacramento (Sacramento CA),,James Matthew,outmaja01,
197,Nicholas Padilla,25.242,Aug 23,,/1,CHC,0.0,6-2,220,R,R,Dec 24 1996,Bronx NY US,Drafted by the Tampa Bay Rays in the 13th round of the 2015 amateur draft. Player signed July 16 2015.,Grayson College (Denison TX),Cardinal Spellman HS (Bronx NY),Nicholas Gilbert,padilni01,
198,Jermaine Palacios,25.316,May 31,,64/H135,MIN,-0.7,6-0,145,R,R,Jul 19 1996,Barquisimeto Lara VE,Signed as a Free Agent with the Minnesota Twins in 2013.,,,Jermaine Manuel,palacje01,
199,Richie Palacios,24.344,Apr 25,,7HD/4,CLE,-0.2,5-10,180,L,R,May 16 1997,Brooklyn NY US,Drafted by the Cleveland Indians in the 3rd round of the 2018 amateur draft. Player signed June 13 2018.,Towson University (Towson MD),The Berkeley Carroll School (Brooklyn NY),Richard Jordan,palacri01,
200,Andre Pallante,23.204,Apr 10,,1,STL,1.4,6-0,203,R,R,Sep 18 1998,Mission Viejo CA US,Drafted by the St. Louis Cardinals in the 4th round of the 2019 amateur draft. Player signed June 19 2019.,University of California Irvine (Irvine CA),San Clemente HS (San Clemente CA),Neil Andre,pallaan01,
